lat_idx,lon_idx,NDVI,NDBI
0,0,-0.00890066796454162,0.010425502237172599
0,1,-0.009350218529388025,0.011069476746312099
0,2,-0.01078918961291442,0.010624893653047574
0,3,-0.021272547126078754,0.012913410847208855
0,4,-0.026965632415162005,0.013864259145556907
0,5,-0.04948330220239257,0.011682007261091063
0,6,-0.06091299942093635,0.011362317655664875
0,7,-0.05946283532094619,0.0156369652017146
0,8,-0.06802638311361815,-0.008840273876989846
0,9,-0.06190600448385523,-0.05956603084065651
0,13,0.052815851094944896,0.1431659468017274
0,19,0.2496547359255314,-0.07430881645634853
0,20,0.2527145150495894,-0.07576882364864346
0,21,0.278988894050169,-0.124484278523567
0,22,0.17361756871871858,-0.10820439861556576
0,23,0.14302909821660403,-0.06894352678629523
0,24,0.22054912422493825,-0.08700173292528816
0,25,0.36047583710404957,-0.14677675487979625
0,26,0.34617271836782826,-0.12377793915444113
0,27,0.2752461394333016,-0.08771623608796893
0,28,0.26172409356314796,-0.08786547179282773
0,29,0.2772378242031073,-0.09474813596696728
0,30,0.3088165601312898,-0.12055948749152579
0,31,0.3518500588641307,-0.16115843139596078
0,32,0.3479819152032005,-0.14699792197279238
0,33,0.4121991185635173,-0.20007886734468394
1,0,-0.009689744729009292,0.009552010350019574
1,1,-0.01006394759243173,0.009725940869776344
1,2,-0.013481256456333355,0.010005101872646437
1,3,-0.016566728059798815,0.011682978726284756
1,4,-0.016545842586512774,0.013129737224708388
1,5,-0.04171309959131229,0.011428240719249744
1,6,-0.05412694774353046,0.009927996590727788
1,7,-0.0510261637428083,0.016873886738695023
1,8,-0.07188483261896711,0.01128089643179126
1,9,-0.05937245214195617,-0.021822470905683105
1,10,-0.03544905277747603,-0.02910313097617581
1,17,0.12293025197503364,0.0013967251776881601
1,19,0.2966201312376178,-0.09784439357873051
1,20,0.23475930969061795,-0.0582791419759371
1,21,0.24827855451579142,-0.06472235054710632
1,22,0.3546449278938563,-0.13998567587052
1,26,0.3871003654904557,-0.15889331390866782
1,27,0.3115996858122502,-0.11111596465159337
1,28,0.3219928291451447,-0.11997699895490835
1,29,0.362216471658359,-0.16146865675193653
1,30,0.3799596735741861,-0.15359198522818365
1,31,0.32243588871933626,-0.12265673032167318
1,32,0.3293209835998888,-0.15003557213853977
1,33,0.41325956145758347,-0.19931582704116213
2,0,-0.0093710207323689,0.008407053854601198
2,1,-0.011100565645596626,0.008662066270706691
2,2,-0.014000848527490626,0.009783515139162525
2,3,-0.018010748984918314,0.010363749213873626
2,4,-0.01680669777608244,0.01024950526665151
2,5,-0.014930897103816463,0.014637883677990344
2,6,-0.02305228114957776,0.020730495113384647
2,7,-0.030187129411797808,0.018848162088952555
2,8,-0.04569413795644958,0.016886706647284404
2,9,-0.0655525649350101,0.012755445223939213
2,10,-0.07502944099327687,-0.03185969539872088
2,11,-0.005975468229779322,-0.04109644256617104
2,14,0.1433395354545777,-0.0053323968088896
2,15,0.16441387967414695,-0.0172460534068619
2,19,0.32639372083779455,-0.12659747247014683
2,20,0.272036085536953,-0.08557175335886204
2,21,0.22138092404011153,-0.07971377874872242
2,22,0.22860673300161505,-0.08423455185701685
2,23,0.34778754863197703,-0.12435464876917886
2,24,0.4262759642813338,-0.21187293194479748
2,25,0.4103989907576767,-0.21038529654370192
2,27,0.2596736109799198,-0.03839523849752508
2,28,0.34809067371357194,-0.1741628943381559
2,29,0.3110920255255838,-0.1103580089337648
2,30,0.3796469972931446,-0.15945218475187348
2,31,0.38445718044904437,-0.17393341748447008
2,32,0.3980571302330466,-0.20197246349660877
2,33,0.430346847730908,-0.2260979357254134
3,0,-0.009807083660587126,0.008248802642791002
3,1,-0.012149100870893026,0.007988754542313898
3,2,-0.015152182585877387,0.00801040362393127
3,3,-0.021051357941059348,0.007798441499227308
3,4,-0.018225353100040056,0.009447899073701749
3,5,-0.016558166138009832,0.011694874941849908
3,6,-0.023055329613931246,0.020929793922023487
3,7,-0.024354364917229948,0.02451645133142413
3,8,-0.029929637317930663,0.024322940164369245
3,9,-0.04122561404379936,0.021448734573991046
3,10,-0.06771073122179602,0.014326013503119111
3,11,-0.03951311388053049,-0.011045648818187844
3,12,0.0031906838138081456,0.007395697638851551
3,14,0.13501720246915405,0.027764903121584777
3,15,0.1387781465136527,0.04401956943829045
3,17,0.10557653170161503,0.0535952646546477
3,19,0.14099874837350565,0.030372717045165316
3,20,0.20083740629766625,-0.03086904514093229
3,21,0.28978742440915484,-0.16481067654075746
3,22,0.2748099818023615,-0.14009942944794546
3,23,0.3175329945033929,-0.1049589399275513
3,24,0.39679579407714677,-0.18123288431668236
3,25,0.37279194782312675,-0.17305971212142046
3,26,0.37021272012167733,-0.15773136943166832
3,27,0.411081729261382,-0.20052843601886017
3,28,0.40978551649206185,-0.2038609766511603
3,29,0.4032001599629913,-0.1865341692018412
3,30,0.3843798938373461,-0.18212256346464228
3,31,0.4061741578741748,-0.1515913110826934
3,32,0.3605122506910447,-0.1912726807352921
3,33,0.24989232744764822,-0.19564014652634
4,0,-0.01143798769925699,0.008963225420250883
4,1,-0.012827705242724538,0.010072720574730685
4,2,-0.015824596246933133,0.00895548413584893
4,3,-0.01692998278796267,0.010247129016085094
4,4,-0.011844913247766403,0.011331100112375345
4,5,-0.03486240463928445,0.01091571675921274
4,6,-0.04556058091303352,0.010317257920203361
4,7,-0.03701182568347117,0.015235895605980427
4,8,-0.02758486248024533,0.02826921733979801
4,9,-0.03048167247558883,0.026169135485829637
4,10,-0.04918888101740016,0.02445666887649381
4,11,-0.061950288607249694,0.012443281500073405
4,12,-0.03952587505290753,-0.0205792669496211
4,16,0.0159046939767572,-0.020141622222178003
4,18,0.0595937012433449,0.0184169746096078
4,22,0.383142239773657,-0.17250780370579216
4,23,0.40724132965558935,-0.19434969130166704
4,24,0.4194902486446612,-0.2082356897131428
4,25,0.2541398733495729,-0.03598508781938273
4,26,0.41646742900300143,-0.20462520146719934
4,27,0.40580080215980185,-0.19682042974239236
4,28,0.4062648284908366,-0.20016814765014931
4,29,0.42749875136159216,-0.2234540235404486
4,30,0.41553374664631615,-0.1966794709160834
4,31,0.40113882756815933,-0.18135786680601695
4,32,0.34885032234259344,-0.18808360212835432
4,33,0.2748835185128471,-0.1847416459004539
5,0,-0.00890948705610166,0.008383695767816004
5,1,-0.012806436018573394,0.010135352869134345
5,2,-0.014011589892449397,0.012675321805723254
5,3,-0.015252479456144358,0.013761010437104917
5,4,-0.016852680458642577,0.01346571295544055
5,5,-0.03036248058474658,0.011948960250258305
5,6,-0.04131490616840478,0.010749203178589099
5,7,-0.03668098533471246,0.012462450288506935
5,8,-0.025558370180346356,0.018987170273325155
5,9,-0.028910893446834472,0.023102794697754708
5,10,-0.03450867214518923,0.024005210396492574
5,11,-0.05032251311311985,0.02048204056687911
5,12,-0.04272178828470758,-0.00975078630045299
5,13,-0.03281538965318271,-0.019037158301922066
5,18,0.14675097034606285,0.0003012256811993714
5,22,0.2259308930373187,-0.12721553439256458
5,23,0.27682343469601217,-0.1360955172795825
5,24,0.34465707931636036,-0.15238505518742357
5,25,0.3881150589832896,-0.18263715010344428
5,26,0.41753054503258374,-0.20097897623226668
5,29,0.4160849951495185,-0.22196965285970835
5,30,0.4027077306309738,-0.19909999620394203
5,31,0.38360594560005434,-0.1927585123336786
5,32,0.3920554680149697,-0.19058317199623892
5,33,0.2756992860707499,-0.14834264545880085
6,0,-0.006375032905068551,0.008838375032369136
6,1,-0.010370652808158689,0.010173453860794603
6,2,-0.014171636607412483,0.01056009560024244
6,3,-0.015639356326648868,0.01235629609849917
6,4,-0.01963527679078705,0.013822947275487092
6,5,-0.027772844162821754,0.014029245222423
6,6,-0.04002262264096962,0.009683805893236355
6,7,-0.04610994763012497,0.009906654877809814
6,8,-0.039332181585200715,0.012497109858311917
6,9,-0.04465510040851882,0.01280988080927333
6,10,-0.05932298372813606,0.01148412762570307
6,11,-0.05376104075918394,0.025186164208884983
6,12,-0.06363123858625501,0.01017858805267999
6,13,-0.050101970309116665,-0.016762080920183872
6,14,0.1241958500011696,0.0562450903377847
6,18,0.04117310083816173,0.07428228831073318
6,19,0.08788419268325309,0.04392785262584403
6,26,0.4137480243889382,-0.19345092411376247
6,27,0.41403195080015187,-0.19179577089497724
6,28,0.4050711546035034,-0.18729565872507448
6,32,0.3975539265623217,-0.18323117358713464
6,33,0.390523278237362,-0.17932007947773235
7,0,-0.008284910071033552,0.009309102070414197
7,1,-0.011820708528366366,0.010548552768861562
7,2,-0.012809356688792774,0.010468754268875901
7,3,-0.016820524535930744,0.009621423380714365
7,4,-0.017614586109112283,0.008823729996366592
7,5,-0.019535038653909157,0.013747506840291914
7,6,-0.025129179651948608,0.014749506576448733
7,7,-0.026159938202559227,0.014895991676763443
7,8,-0.031511989333539187,0.01626041327734236
7,9,-0.04835306028921802,0.01706239783605984
7,10,-0.06022068884755072,0.009787041254964993
7,11,-0.05817690573312111,0.011902016687559957
7,12,-0.06446029976211175,0.018244065729715098
7,13,0.04336879297021887,-0.04240095765620485
7,14,0.2492664835283511,-0.07313383360248801
7,18,0.0672105811738489,0.0800570065371626
7,19,0.1393600948574269,0.0511260472079763
7,25,0.41819675624908165,-0.19081119650895806
7,26,0.41060501410761807,-0.1843037599826344
7,27,0.40809990109230293,-0.187201640027943
7,28,0.4024564682096025,-0.18762193912667063
7,32,0.41541847032020074,-0.20540678889986652
7,33,0.41864067635431873,-0.21298709067645125
8,0,-0.007877110560593934,0.01044124200222407
8,1,-0.009332273468144397,0.010825111457254906
8,2,-0.011768145743359652,0.010893861958506411
8,3,-0.012985526632896965,0.010140897422547687
8,4,-0.018767899777499705,0.010134113299393874
8,5,-0.021927658986788515,0.00943453369152291
8,6,-0.020681814188990236,0.012619488016300326
8,7,-0.027175530572496772,0.013826846611128096
8,8,-0.03878978839101561,0.016411209734252405
8,9,-0.044842295637605625,0.015934756545005885
8,10,-0.04837295303814702,0.0020578106840298056
8,11,0.18404800931972654,-0.0671663589038674
8,12,0.2504741005436429,-0.08160002491893611
8,13,0.2834631369527376,-0.08496401278054654
8,14,0.38121510406045245,-0.17573973967744091
8,24,0.38228241292883075,-0.16536327928055347
8,25,0.38188326521366683,-0.18969055788593758
8,26,0.4435872827443888,-0.2309332389915657
8,27,0.4600977109459437,-0.25083810127008194
8,28,0.4914957554386992,-0.2962478273493528
8,31,0.4163913275537565,-0.20283806042849403
8,32,0.410776297036292,-0.1990912791593513
8,33,0.4157974030740741,-0.20372488777119602
9,0,-0.008327866181849428,0.011264375728188045
9,1,-0.009437662301632585,0.012334982129713358
9,2,-0.008521084900874281,0.011365831907776078
9,3,-0.010762793118997147,0.011281747629951924
9,4,-0.014547929540426531,0.01047491430093075
9,5,-0.01708068573793571,0.008735013779973148
9,6,-0.021793147951254904,0.008786914597813755
9,7,-0.02748891763130283,0.0098245999520031
9,8,-0.03513611682615985,0.010609294372769059
9,9,-0.0376696432098221,0.014204446252826335
9,10,-0.028727922191007112,0.0023415862730603314
9,11,0.15098390686961255,-0.10575550427712575
9,12,0.3721482853593927,-0.18481066943126057
9,13,0.3376760254395595,-0.13683275159914002
